fid,powiat,woj,m,k,aprod,prod,pprod,malzenstwa,przyrost
189,kędzierzyńsko-kozielski,16,46893,50288,12320,65139,19722,4.9,-2.6
190,kluczborski,16,32798,34458,8856,46024,12376,4.9,-2.1
191,opolski,16,64611,68606,17461,92621,23135,4.5,-0.4
192,niżański,18,33426,34095,9969,46645,10907,4.7,-0.9
193,przemyski,18,37215,37010,11964,50684,11577,5.4,1.4
194,przeworski,18,38922,40340,12845,52656,13761,5.3,-0.1
195,ropczycko-sędziszowski,18,36285,37266,12699,49121,11731,5.8,2.4
196,rzeszowski,18,81796,84039,27828,110836,27171,5.2,1.6
197,stalowowolski,18,52960,55704,15235,73846,19583,4.5,-0.5
198,strzyżowski,18,30742,31353,9742,41658,10695,5,-0.1
199,tarnobrzeski,18,26584,27334,7884,36747,9287,5,-1.2
200,leski,18,13268,13515,3942,18121,4720,4.8,0.3
201,Krosno,18,22320,24903,6592,31146,9485,4.9,0.5
202,Rzeszów,18,86456,96652,26499,123972,32637,4.7,3.1
203,Przemyśl,18,29848,33790,8689,41947,13002,4.2,-1.9
204,Tarnobrzeg,18,23197,25020,6541,32119,9557,4.8,-1.1
205,brzozowski,18,32807,33527,11216,44028,11090,5.2,1.1
206,bieszczadzki,18,10999,11205,3396,15340,3468,5.4,0.9
207,dębicki,18,66839,68326,22112,91258,21795,5.5,1.7
208,jarosławski,18,59542,62588,18897,82436,20797,5,0.3
209,kolbuszowski,18,31315,31436,10141,42543,10067,4.7,0.7
210,jasielski,18,56649,58739,17470,77844,20074,5.1,0.2
211,krośnieński,18,54956,56927,18013,74497,19373,5.1,0.9
212,leżajski,18,34614,35363,11188,47146,11643,4.5,1.3
213,lubaczowski,18,28401,28656,8669,38527,9861,5.2,-1.1
214,łańcucki,18,39104,40762,13219,52654,13993,5.1,1.9
215,mielecki,18,67243,69160,21468,91556,23379,4.7,1.3
216,sanocki,18,47114,48982,14733,64878,16485,5.1,1.3
217,augustowski,20,29153,30405,8959,39552,11047,4.9,-2.4
218,białostocki,20,71401,73577,21606,97606,25766,4.4,-1.6
219,sejneński,20,10425,10466,3000,13772,4119,4.2,-2.2
220,moniecki,20,20974,21103,5946,28022,8109,5.2,-3.1
221,wysokomazowiecki,20,29639,29154,9015,38423,11355,5.2,-2.5
222,Suwałki,20,33151,36166,10923,48190,10204,4.8,1.2
223,sokólski,20,34826,35699,9813,46367,14345,4.5,-2.7
224,zambrowski,20,22100,22526,6962,29880,7784,5.1,-0.4
225,Białystok,20,138645,156637,41055,200692,53535,4.6,1.1
226,hajnowski,20,22035,23380,5191,28586,11638,4.8,-9
227,siemiatycki,20,23093,23845,6277,30427,10234,5,-6.4
228,bielski,20,28448,29151,7720,36428,13451,5.1,-4.2
229,kolneński,20,19853,19702,6393,26609,6553,4.7,-2.6
230,łomżyński,20,26142,25718,8452,34498,8910,4.7,-0.3
231,Łomża,20,30123,32588,8722,44073,9916,4.9,1.1
232,grajewski,20,24253,24663,7585,33140,8191,4.3,-0.7
233,suwalski,20,18385,17539,5887,23853,6184,5,-0.1
234,pucki,22,40513,41084,15123,55131,11343,5,3.5
235,słupski,22,48823,48614,16041,67102,14294,4.6,1.2
236,wejherowski,22,101985,103907,39120,138739,28033,4.8,6.1
237,sztumski,22,21228,21283,7207,29379,5925,4.4,2.4
238,Sopot,22,17547,20356,3799,23668,10436,4.6,-4.8
239,chojnicki,22,47495,48718,17136,64286,14791,5,2.3
240,Gdańsk,22,218823,242708,62473,300868,98190,4.3,-0.5
241,człuchowski,22,28296,28897,9267,39190,8736,5.4,2.3
